sample_size,bootstrap_iteration,best_model_index,best_is_true_model,best_val_mse,true_model_val_mse,true_model_rank,rashomon_size_1pct,true_in_rashomon_1pct,rashomon_size_5pct,true_in_rashomon_5pct
200,24,12980,False,9.541425168058055,9.563271237190293,58,3086,True,15504,True
200,25,14564,False,9.403933054911064,9.477421400828627,96,177,True,12872,True
200,26,14564,False,9.391344580514735,9.637809112593946,3770,277,False,10842,True
200,27,14279,False,9.387671209126083,9.423587459292179,131,835,True,13215,True
200,28,7158,False,9.429218972081554,9.599191587004873,2875,819,False,13882,True
200,29,12986,True,9.351411885516551,9.351411885516551,1,301,True,8721,True
400,0,9899,False,9.277373730411258,9.410373922200218,735,255,False,15253,True
400,1,12976,False,9.283633036125472,9.29147514642568,10,623,True,15504,True
400,2,14643,False,9.367318351938156,9.40686564980113,161,985,True,15504,True
400,3,580,False,9.334950585898401,9.490740669801442,1496,354,False,14459,True
400,4,10541,False,9.384462335030918,9.43143661500679,111,707,True,15272,True
400,5,2846,False,9.392852157226832,9.412003719419776,142,2647,True,15504,True
400,6,3357,False,9.343718145611197,9.371315553706289,87,944,True,15504,True
400,7,10614,False,9.356761550858861,9.451373554286873,805,769,False,15504,True
400,8,3364,False,9.452282460949176,9.546638526666978,575,578,True,15504,True
400,9,4880,False,9.351029669972418,9.40364149918561,76,489,True,15462,True
400,10,4880,False,9.280976074078366,9.36622099440501,234,352,True,15452,True
400,11,14246,False,9.328962132871757,9.455599978471065,648,278,False,14036,True
400,12,10505,False,9.32309740534908,9.384805229927876,118,373,True,15504,True
400,13,12551,False,9.345950856445965,9.359605834057067,18,848,True,15500,True
400,14,14686,False,9.357331367067996,9.359181404094393,4,597,True,13457,True
400,15,10620,False,9.297415749360159,9.335476675480948,61,493,True,15492,True
400,16,10108,False,9.356141438934872,9.390906669903657,34,401,True,14619,True
400,17,14282,False,9.363695648489495,9.421849833544762,123,396,True,14193,True
400,18,12986,True,9.316030491530077,9.316030491530077,1,540,True,15309,True
400,19,14650,False,9.33084141204894,9.342968585634182,44,744,True,15177,True
400,20,14565,False,9.315317647335359,9.350827471726666,34,238,True,13455,True
400,21,4736,False,9.386264862175809,9.510616076029747,779,315,False,15425,True
400,22,14689,False,9.362369639479885,9.431052291162603,149,359,True,13149,True
400,23,14691,False,9.317097085002356,9.444926708954357,2026,814,False,15504,True
400,24,10614,False,9.28922735070615,9.319504258142345,26,264,True,15093,True
400,25,9899,False,9.388087935632418,9.44332469732838,64,230,True,15252,True
400,26,12952,False,9.376066648958659,9.399391402569709,37,888,True,14827,True
400,27,12935,False,9.333080908726105,9.380725685441169,198,935,True,15143,True
400,28,3359,False,9.390049753179962,9.41690161081806,19,233,True,13975,True
400,29,14620,False,9.397181660501507,9.431530025494997,63,566,True,15035,True
