sample_size,bootstrap_iteration,best_model_index,best_is_true_model,best_val_mse,true_model_val_mse,true_model_rank,rashomon_size_1pct,true_in_rashomon_1pct,rashomon_size_5pct,true_in_rashomon_5pct
50,0,11506,False,9.528540816969697,10.236374795171082,9254,141,False,5290,False
50,1,6727,False,9.612733233903793,10.49808865911596,3508,29,False,1015,False
50,2,9544,False,9.569113717595695,10.834217219314333,11062,22,False,2042,False
50,3,6674,False,10.23761789548081,11.542844894351116,9283,89,False,1962,False
50,4,14360,False,9.420088039052809,9.89959668352753,2746,33,False,2656,False
50,5,10439,False,9.504809154576462,11.503369582775104,9448,14,False,408,False
50,6,6207,False,9.488587496145628,10.061459078191172,1657,16,False,1160,False
50,7,11483,False,9.740331289562702,11.344290404151144,12777,52,False,2381,False
50,8,10121,False,9.48323915198832,10.471594149250679,6861,17,False,1357,False
50,9,14296,False,10.314741071483903,12.367329844971213,13217,22,False,1262,False
50,10,12978,False,9.571279334666098,10.043346829477453,787,35,False,818,True
50,11,11546,False,9.418670457689023,10.54820957508414,11379,25,False,2072,False
50,12,3434,False,9.649660072527338,10.44457947443095,4481,48,False,1678,False
50,13,7167,False,9.554669074736712,10.789693745916265,9072,45,False,2355,False
50,14,1534,False,9.472436573397264,10.940032384018508,15006,18,False,4711,False
50,15,7194,False,9.438014588818545,9.757060832821768,409,9,False,1066,True
50,16,6529,False,9.675705225587425,10.954728545870449,8487,75,False,1184,False
50,17,7465,False,9.513617745406815,10.011854815203229,1062,8,False,916,False
50,18,12547,False,9.439362469311554,9.58140036101046,51,21,False,659,True
50,19,6399,False,9.690606518394064,12.503502261624448,15029,33,False,1146,False
50,20,7469,False,9.58528131256572,10.525065876117289,5391,45,False,1482,False
50,21,3354,False,9.858420096109258,10.763558315064504,4177,8,False,1251,False
50,22,6435,False,9.366260470057437,10.479016256853225,8071,64,False,2463,False
50,23,14475,False,9.35182526490868,10.323416484717889,11537,65,False,3044,False
50,24,6409,False,9.905515541565869,10.198433092614378,578,25,False,1907,True
50,25,12824,False,9.436533867931633,10.411845599140289,7449,17,False,996,False
50,26,8956,False,9.687086697595424,10.559406680876904,5258,108,False,2094,False
50,27,13151,False,9.43398778294264,10.073775790949584,2023,9,False,634,False
50,28,12845,False,9.500563894964758,11.647828793138594,11289,13,False,572,False
50,29,10918,False,9.583805756008424,10.832183547919536,10240,29,False,1897,False
100,0,12840,False,9.531755266747817,9.765348596950135,359,46,False,2356,True
100,1,8293,False,9.392790994813272,9.859642840143977,5599,300,False,5650,True
100,2,6300,False,9.45087748304049,9.627355489580227,1093,133,False,13187,True
100,3,11400,False,9.399520167546354,9.587728368711378,212,32,False,4094,True
100,4,14620,False,9.557349437251325,9.605643257613739,30,344,True,12232,True
100,5,10614,False,9.387893027980049,9.491444469093036,137,98,False,6072,True
100,6,10035,False,9.40549047457584,9.589781163607894,445,103,False,4361,True
100,7,6530,False,9.796597480650366,10.38787658561564,10412,49,False,7260,False
100,8,2419,False,9.483729751323503,9.678910121320529,1603,315,False,7099,True
100,9,10113,False,9.338013912773997,9.519018794781463,1466,256,False,9076,True
100,10,10620,False,9.343691067458973,9.357380525094234,9,117,True,4225,True
100,11,12547,False,9.421100584266945,9.692469025158982,3392,339,False,8368,True
100,12,7943,False,9.582983750343404,10.014984027690192,3552,65,False,4650,True
100,13,6160,False,9.63652398935876,10.606773709933531,8556,15,False,1554,False
100,14,12976,False,9.384956364392888,9.461557834360113,182,237,True,7448,True
100,15,14618,False,9.564319483039093,9.843526528520588,1205,103,False,4527,True
100,16,1817,False,9.412841520870192,9.595418478781133,861,140,False,8590,True
100,17,13541,False,9.529593876111278,9.567458039118552,37,417,True,5417,True
