sample_size,best_is_true_mean,best_is_true_std,true_model_rank_mean,true_model_rank_std,rashomon_size_1pct_mean,rashomon_size_1pct_std,rashomon_size_1pct_q25,rashomon_size_1pct_q75,true_in_rashomon_1pct_mean,rashomon_size_5pct_mean,rashomon_size_5pct_std,rashomon_size_5pct_q25,rashomon_size_5pct_q75,true_in_rashomon_5pct_mean
50,0.0,0.0,7052.966666666666,4624.493273141754,37.833333333333336,31.66972157073402,17.0,47.25,0.0,1749.2666666666667,1113.9004763731668,1027.75,2088.5,0.13333333333333333
100,0.0,0.0,3198.0,3575.0986096841466,209.13333333333333,162.02995324052412,99.25,311.25,0.13333333333333333,7142.6,2988.951120376511,4841.75,8423.5,0.8333333333333334
200,0.03333333333333333,0.18257418583505536,1207.7333333333333,2161.9675893665158,595.5,601.1244492185257,283.0,677.5,0.6666666666666666,12808.2,2366.389850413057,11314.5,14551.5,1.0
400,0.03333333333333333,0.18257418583505533,295.93333333333334,473.31777860146974,607.1666666666666,454.11156789048425,352.5,762.75,0.8,14968.9,713.0602987512153,14671.0,15503.0,1.0
